NCBI_Id,GeneID
LOC541886,Zm00001d051403
LOC541887,Zm00001d020383
LOC541888,Zm00001d019563
LOC541889,Zm00001d051174
LOC541890,Zm00001d017288
LOC541891,Zm00001d019565
LOC541892,Zm00001d010325
LOC541893,Zm00001d011778
LOC541894,Zm00001d051362
LOC541895,Zm00001d017485
LOC541896,Zm00001d013956
LOC541897,Zm00001d037779
LOC541900,Zm00001d026178
LOC541901,Zm00001d021709
LOC541902,Zm00001d050032
LOC541903,Zm00001d009431
LOC541904,Zm00001d043047
LOC541905,Zm00001d025018
LOC541907,Zm00001d038476
LOC541908,Zm00001d027283
LOC541909,Zm00001d019560
LOC541910,Zm00001d047089
LOC541911,Zm00001d037532
LOC541912,Zm00001d032610
LOC541913,Zm00001d044339
LOC541914,Zm00001d044340
LOC541915,Zm00001d052185
LOC541916,Zm00001d048143
sfp1,Zm00001d028162
LOC541918,-
LOC541919,Zm00001d028759
gz50,Zm00001d020591
dzs18,Zm00001d037436
dzs10,Zm00001d045937
z1D_2,-
z1C2,Zm00001d049243
z1C1_4,Zm00001d048809
z1C1_12,Zm00001d048806
LOC541927,Zm00001d038597
LOC541928,Zm00001d005230
LOC541929,Zm00001d011036
LOC541930,Zm00001d052273
LOC541931,Zm00001d053595
LOC541932,Zm00001d042433
LOC541933,Zm00001d050874
LOC541934,Zm00001d011705
LOC541935,Zm00001d002156
LOC541936,Zm00001d033620
LOC541937,Zm00001d045080
LOC541938,Zm00001d017423
LOC541939,Zm00001d043840
LOC541940,Zm00001d037499
LOC541942,Zm00001d031128
LOC541944,Zm00001d020669
LOC541946,Zm00001d023437
LOC541947,Zm00001d023699
LOC541949,Zm00001d025626
LOC541950,Zm00001d006918
LOC541951,Zm00001d017555
LOC541952,Zm00001d052749
LOC541953,Zm00001d003813
LOC541954,Zm00001d036296
LOC541955,Zm00001d028890
LOC541956,Zm00001d019967
LOC541957,Zm00001d000179
LOC541958,Zm00001d011735
LOC541959,Zm00001d028154
LOC541960,Zm00001d010948
LOC541961,Zm00001d035439
LOC541962,Zm00001d042287
LOC541963,Zm00001d007978
LOC541964,Zm00001d018981
LOC541965,Zm00001d052621
LOC541966,Zm00001d005675
LOC541967,Zm00001d024583
LOC541968,Zm00001d051392
LOC541969,Zm00001d040621
LOC541970,Zm00001d014449
LOC541971,Zm00001d010928
LOC541972,Zm00001d018864
LOC541973,Zm00001d002601
LOC541974,Zm00001d002351
LOC541975,Zm00001d011622
LOC541976,Zm00001d002781
LOC541977,Zm00001d048634
LOC541978,Zm00001d052434
LOC541979,Zm00001d021145
LOC541980,Zm00001d043135
LOC541981,Zm00001d014954
LOC541983,Zm00001d024281
LOC541984,Zm00001d012421
LOC541985,Zm00001d048082
LOC541986,Zm00001d027769
LOC541987,Zm00001d002659
LOC541988,Zm00001d013109
LOC541989,Zm00001d048174
LOC541990,Zm00001d042216
LOC541991,Zm00001d018809
LOC541992,Zm00001d053331
LOC541993,Zm00001d024607
LOC541995,Zm00001d036692
ub2,Zm00001d031451
LOC541998,Zm00001d030310
LOC541999,Zm00001d017271
LOC542000,Zm00001d030316
LOC542001,Zm00001d011174
LOC542002,Zm00001d010209
LOC542003,Zm00001d041671
LOC542004,Zm00001d000161
LOC542005,Zm00001d021226
LOC542006,Zm00001d039596
LOC542007,Zm00001d008847
LOC542008,Zm00001d021236
LOC542009,Zm00001d030069
LOC542010,Zm00001d049443
LOC542012,Zm00001d028373
LOC542013,Zm00001d015381
LOC542014,Zm00001d051872
LOC542015,Zm00001d025580
LOC542016,Zm00001d016928
LOC542017,Zm00001d038688
LOC542018,Zm00001d046444
LOC542019,Zm00001d042618
LOC542020,Zm00001d010232
LOC542021,Zm00001d027896
LOC542022,Zm00001d048180
LOC542023,Zm00001d040163
LOC542024,-
LOC542025,Zm00001d024617
LOC542026,Zm00001d035445
LOC542027,-
LOC542028,-
LOC542029,Zm00001d040702
LOC542030,Zm00001d014175
LOC542031,-
LOC542032,Zm00001d013259
LOC542033,Zm00001d052180
LOC542034,Zm00001d027957
LOC542035,Zm00001d044899
LOC542037,Zm00001d039434
LOC542038,Zm00001d034047
LOC542039,Zm00001d042591
LOC542040,Zm00001d013258
LOC542041,Zm00001d034045
LOC542042,Zm00001d048474
LOC542043,Zm00001d031620
LOC542044,Zm00001d018142
LOC542045,Zm00001d022088
LOC542046,Zm00001d046555
LOC542047,Zm00001d037133
LOC542048,Zm00001d002006
LOC542049,Zm00001d003291
LOC542050,-
LOC542051,Zm00001d004889
LOC542052,Zm00001d026490
LOC542053,Zm00001d039386
LOC542055,Zm00001d041710
LOC542056,Zm00001d011890
LOC542057,Zm00001d051681
LOC542058,Zm00001d042490
LOC542059,Zm00001d024386
met5,Zm00001d002330
LOC542061,Zm00001d029768
LOC542062,Zm00001d053065
LOC542063,Zm00001d042578
LOC542064,Zm00001d014874
LOC542065,Zm00001d038205
mbd101,Zm00001d010322
LOC542067,Zm00001d011329
mbd105,Zm00001d041290
mbd106,Zm00001d031101
mbd108,Zm00001d020975
mbd111,Zm00001d006046
LOC542072,Zm00001d005546
LOC542073,Zm00001d017727
LOC542074,Zm00001d002436
LOC542075,Zm00001d049608
LOC542076,Zm00001d024698
LOC542077,Zm00001d017399
LOC542079,Zm00001d013238
LOC542080,Zm00001d033379
LOC542081,Zm00001d039181
LOC542082,Zm00001d018976
LOC542083,Zm00001d020182
LOC542084,Zm00001d022614
LOC542085,Zm00001d010646
LOC542086,-
LOC542087,Zm00001d043682
LOC542088,Zm00001d004734
LOC542089,Zm00001d011956
LOC542090,Zm00001d002787
LOC542091,Zm00001d029091
LOC542092,Zm00001d054057
LOC542093,Zm00001d051214
LOC542094,Zm00001d015036
LOC542095,Zm00001d020799
LOC542096,Zm00001d032990
LOC542097,Zm00001d022488
LOC542098,Zm00001d026231
LOC542099,Zm00001d034188
LOC542100,Zm00001d039039
LOC542101,Zm00001d040997
LOC542102,Zm00001d038541
LOC542103,Zm00001d051590
LOC542104,Zm00001d033745
LOC542105,Zm00001d021584
LOC542106,Zm00001d047135
LOC542107,Zm00001d042536
LOC542108,Zm00001d035037
LOC542109,Zm00001d000184
LOC542110,-
LOC542112,Zm00001d017126
LOC542113,Zm00001d045352
LOC542114,Zm00001d016855
LOC542115,Zm00001d024245
LOC542116,Zm00001d046599
LOC542117,Zm00001d048709
LOC542118,Zm00001d019573
LOC542123,Zm00001d011691
LOC542124,Zm00001d039750
LOC542125,Zm00001d043696
LOC542126,Zm00001d042697
LOC542127,Zm00001d029151
LOC542128,Zm00001d025944
LOC542129,Zm00001d017391
LOC542130,Zm00001d013895
LOC542131,Zm00001d040189
LOC542132,Zm00001d045209
LOC542136,Zm00001d024843
LOC542137,Zm00001d052136
LOC542138,Zm00001d021826
LOC542139,Zm00001d043477
LOC542140,Zm00001d034035
LOC542142,Zm00001d022434
LOC542143,Zm00001d024807
LOC542144,Zm00001d047349
LOC542145,Zm00001d053446
LOC542146,Zm00001d042416
LOC542147,Zm00001d052598
LOC542148,Zm00001d003108
aos1,Zm00001d048021
aoc1,Zm00001d029594
LOC542152,Zm00001d013267
LOC542153,Zm00001d015279
LOC542154,Zm00001d020557
